link,link_text,description
https://github.com/adriancooney/examist,Examist,My final year project for CS&IT <a href='http://adriancooney.ie/examist/book'>(report)</a>.
http://github.com/adriancooney/console.snapshot,console.snapshot,A tiny library for debugging <code>&lt;canvas&gt;</code>.
https://github.com/adriancooney/voyeur.js,Voyeur.js,Intuitive library for working with the DOM.
https://github.com/adriancooney/SKMech,SKMech,A set of handy utilities for SpriteKit.
https://github.com/adriancooney/SKImport,SKImport,SKPhysicBody editor and importer.
https://github.com/adriancooney/boh,boh,"A simple, smart build tool."
